application_id,dimension_id,dimension_name,default_on,user_toggle,contributes_to_core_score,display_order,notes
oil_palm,oil_palm_water,Crop water stress,TRUE,FALSE,TRUE,1,Core crop-climate dimension. Optional operational dimensions do not alter this core score.
oil_palm,worker_heat,Outdoor worker heat / workability,FALSE,TRUE,FALSE,2,Optional operational dimension; current app can use WBGT as a provisional indicator. Prefer a direct workability-loss metric when registered. Does not alter the core crop-water score.
oil_palm,excess_rain_operations,Excess rainfall / field access,FALSE,TRUE,FALSE,3,"Optional operational dimension for field access/harvesting disruption; enable when R20MM, R50MM and/or CWD_PR1MM are registered."
oil_palm,flood_waterlogging,Flood / waterlogging exposure,FALSE,TRUE,FALSE,4,Optional site exposure dimension; requires a flood-susceptibility layer (FLOOD_SUSC). Do not infer waterlogging from rainfall alone.
restoration,establishment_water,Establishment water stress,TRUE,FALSE,TRUE,1,NA
restoration,fire_drought,Fire exposure,TRUE,FALSE,TRUE,2,Core restoration dimension. Uses the modelled Fire layer directly; drought indicators remain within establishment water stress/supporting context to avoid double counting.
restoration,extreme_rain_erosion,Extreme rainfall / erosion pressure,FALSE,TRUE,FALSE,3,NA
restoration,flood_waterlogging,Flood / waterlogging,FALSE,TRUE,FALSE,4,NA
restoration,landslide_trigger,Landslide trigger pressure,FALSE,TRUE,FALSE,5,NA
restoration,worker_heat,Field-worker heat stress,FALSE,TRUE,FALSE,6,NA
restoration,climate_stability,Climate stability / refugia,FALSE,TRUE,FALSE,7,NA
worker_heat,worker_heat,Outdoor workability,TRUE,FALSE,TRUE,1,NA
worker_heat,night_heat,Night-time heat / recovery,FALSE,TRUE,FALSE,2,NA
fire_drought,dry_spell,Dry-spell persistence,TRUE,FALSE,TRUE,1,NA
fire_drought,hot_dry,Compound hot-dry stress,TRUE,FALSE,TRUE,2,NA
fire_drought,fire_drought,Fire weather / fire probability,TRUE,FALSE,TRUE,3,NA
extreme_rain,extreme_rainfall,Extreme rainfall intensity,TRUE,FALSE,TRUE,1,NA
extreme_rain,wet_spell,Wet-spell persistence,TRUE,FALSE,TRUE,2,NA
extreme_rain,flood_waterlogging,Flood susceptibility,FALSE,TRUE,FALSE,3,NA
livestock,livestock_heat,Cattle heat stress,TRUE,FALSE,TRUE,1,NA
livestock,water_stress,Water/drought exposure,FALSE,TRUE,FALSE,2,NA
rice,rice_heat,Crop heat stress,TRUE,FALSE,TRUE,1,NA
rice,water_stress,Crop water stress,FALSE,TRUE,FALSE,2,NA
rice,flood_waterlogging,Flood/excess water,FALSE,TRUE,FALSE,3,NA
rice,worker_heat,Field-worker heat,FALSE,TRUE,FALSE,4,NA
rubber,rubber_heat,Temperature-related yield stress,TRUE,FALSE,TRUE,1,NA
rubber,wet_spell,Rain/tapping disruption,FALSE,TRUE,FALSE,2,NA
rubber,water_stress,Water stress,FALSE,TRUE,FALSE,3,NA
rubber,worker_heat,Field-worker heat,FALSE,TRUE,FALSE,4,NA
peatland,water_stress,Drying / climatic moisture deficit,TRUE,FALSE,TRUE,1,NA
peatland,fire_drought,Fire/drought,TRUE,FALSE,TRUE,2,NA
peatland,wet_spell,Extreme wetness,FALSE,TRUE,FALSE,3,NA
peatland,flood_waterlogging,Flood exposure,FALSE,TRUE,FALSE,4,NA
peatland,coastal_inundation,Sea-level / surge exposure,FALSE,TRUE,FALSE,5,NA
biodiversity,climate_stability,Climate stability / velocity,TRUE,FALSE,TRUE,1,NA
biodiversity,water_stress,Drought exposure,FALSE,TRUE,FALSE,2,NA
biodiversity,fire_drought,Fire exposure,FALSE,TRUE,FALSE,3,NA
biodiversity,extreme_heat,Extreme heat,FALSE,TRUE,FALSE,4,NA
biodiversity,extreme_rainfall,Extreme rainfall,FALSE,TRUE,FALSE,5,NA
marine,marine_warming,Marine warming,TRUE,FALSE,TRUE,1,NA
marine,marine_deoxygenation,Deoxygenation,TRUE,FALSE,TRUE,2,NA
marine,marine_acidification,Acidification,TRUE,FALSE,TRUE,3,NA
marine,marine_productivity,Marine productivity,FALSE,TRUE,FALSE,4,NA
marine,coastal_inundation,Coastal inundation,FALSE,TRUE,FALSE,5,NA
fisheries,marine_warming,Marine warming,TRUE,FALSE,TRUE,1,NA
fisheries,marine_deoxygenation,Dissolved oxygen,TRUE,FALSE,TRUE,2,NA
fisheries,marine_acidification,pH / aragonite,FALSE,TRUE,FALSE,3,NA
fisheries,fisheries_biomass,Projected fish biomass,TRUE,FALSE,TRUE,4,NA
fisheries,worker_heat,Aquaculture/field-worker heat,FALSE,TRUE,FALSE,5,NA
infrastructure,extreme_rainfall,Extreme rainfall,TRUE,FALSE,TRUE,1,NA
infrastructure,flood_waterlogging,Flood exposure,TRUE,FALSE,TRUE,2,NA
infrastructure,landslide_trigger,Landslide trigger,FALSE,TRUE,FALSE,3,NA
infrastructure,cooling_demand,Cooling demand / heat,FALSE,TRUE,FALSE,4,NA
infrastructure,coastal_inundation,Coastal inundation,FALSE,TRUE,FALSE,5,NA
