dimension_id,layer_id,indicator_role,default_weight,preferred,notes
oil_palm_water,CWD_DEFICIT,severity,1,Future preferred,Use PPETmin until built.
oil_palm_water,PPETmin,severity fallback,1,Current,Current app core.
oil_palm_water,CONDRYMONTH100,duration,1,Future preferred,Literature-based dry-month duration.
oil_palm_water,PPETConDryMth,duration fallback,1,Current,Current app core.
oil_palm_water,CDD_PR1MM,dry-spell persistence,1,Future preferred,Use CDD until migrated.
oil_palm_water,CDD,dry-spell fallback,1,Current,Current app core.
oil_palm_water,VPD_MEAN,atmospheric demand,1,Optional after validation,Do not add until calculated and tested; avoid over-weighting correlated drought variables.
worker_heat,WORKABILITY_LOSS_HEAVY,primary impact,1,Future preferred,Directly interpretable operational impact.
worker_heat,WBGT_SHADE_28_DAYS,supporting threshold,0,Available code,Display rather than double-weight with workability.
worker_heat,WBGT30_DAYS,supporting threshold,0,Available code,Display rather than double-weight with workability.
worker_heat,HI41_DAYS,supporting,0,Available code,"Heat-health context, not same as workability."
fire_drought,KBDI,primary fire-weather drought,1,Future preferred,Implement after local convention check.
fire_drought,FIRE_PROB,impact model,1,Current,Keep as separate model output; do not average blindly with KBDI.
fire_drought,HOT_DRY_SPELL_MAX,compound dryness,1,Available code,
dry_spell,CDD_PR1MM,primary,1,Available code,
dry_spell,DRY_SPELLS_14D_PR1MM,supporting,0,Available code,
hot_dry,HOT_DRY_DAYS_35_PR5,primary,1,Available code,
hot_dry,HOT_DRY_SPELL_MAX,duration,1,Available code,
extreme_rainfall,RX5DAY,multi-day intensity,1,Available code,
extreme_rainfall,R99PTOT_BASE,tail severity,1,Available code,
extreme_rainfall,SDII,daily intensity,1,Available code,
extreme_rainfall,R50MM,supporting frequency,0,Available code,
wet_spell,CWD_PR1MM,duration,1,Available code,
wet_spell,MAX_15DAY_PR,accumulation,1,Available code,
night_heat,TROPICAL_NIGHTS_25,primary,1,Available code,
night_heat,TN90P,future preferred,1,Derive later,
livestock_heat,CATTLE_THI_LOAD72,heat load,1,Available code,
livestock_heat,CATTLE_THI84_DAYS,severe threshold days,1,Available code,
livestock_heat,CATTLE_THI72_SPELL_MAX,duration,1,Available code,
rice_heat,RICE_YIELD_DECLINE,primary impact,1,Verify older layer,
rubber_heat,RUBBER_YIELD_DECLINE,primary impact,1,Verify older layer,
cooling_demand,CDD18,primary,1,Available code,
marine_warming,MARINE_SST,primary,1,Available code,
marine_warming,MARINE_BOTTOM_T,supporting,0,Available code,
marine_deoxygenation,MARINE_O2_BOTTOM,primary,1,Available code,
marine_acidification,MARINE_PH_SURFACE,primary,1,Available code,
marine_acidification,MARINE_ARAG_SURFACE,supporting,0,Available code,
marine_productivity,MARINE_NETPP,primary,1,Available code,
fisheries_biomass,FISH_BIOMASS,direct impact,1,Verify older layer,
coastal_inundation,SLR_INUNDATION,sea-level rise,1,Verify older layer,
coastal_inundation,STORM_SURGE_INUNDATION,storm surge,1,Verify older layer,
climate_stability,CLIMATE_VELOCITY,primary candidate,1,Derive later,
flood_waterlogging,FLOOD_SUSC,static susceptibility,1,Needs data,
landslide_trigger,LANDSLIDE_SUSC,static susceptibility,1,Needs data,
landslide_trigger,RX5DAY,rainfall trigger,1,Available code,
establishment_water,CWD_DEFICIT,severity,1,Future preferred,
establishment_water,PPETmin,severity fallback,1,Current,
establishment_water,PPETConDryMth,duration,1,Current,
extreme_rain_erosion,RX5DAY,rainfall accumulation,1,Available code,
extreme_rain_erosion,R99PTOT_BASE,extreme rainfall,1,Available code,
excess_rain_operations,R20MM,heavy-rain days,1,Available code,
excess_rain_operations,R50MM,very-heavy-rain days,1,Available code,
excess_rain_operations,CWD_PR1MM,persistent wetness,1,Available code,
