layer_id,display_name,domain,source_family,resolution,temporal_basis,current_status,referenced_by_current_app,code_exists,role,risk_direction,recommended_score_method,evidence_grade,primary_dimension,priority,input_requirements,notes,source_reference
Bio05,Maximum temperature of warmest month,terrestrial,WSL/CHELSA-CMIP6,~1 km,monthly climatology,APP_REFERENCED,Yes,Existing raster/config expected,supporting,high,fixed_relative,C,crop_heat,Medium,tasmax monthly,Useful context; avoid treating as direct impact threshold.,Uploaded layer inventory; current app v5
Bio017,Precipitation of driest quarter,terrestrial,WSL/CHELSA-CMIP6,~1 km,monthly climatology,APP_REFERENCED,Yes,Existing raster/config expected,supporting,low,fixed_relative,C,water_stress,High,precipitation monthly,Useful dry-season context; not equivalent to count of months <100 mm.,Uploaded layer inventory; current app v5
PPETmin,Minimum precipitation-to-PET ratio,terrestrial,WSL/CHELSA-CMIP6 derived,~1 km,monthly climatology,APP_REFERENCED,Yes,Existing raster/config expected,scoring,low,fixed_relative,B,water_stress,Very High,precipitation + PET,Core proxy for seasonal water-stress severity.,Uploaded layer inventory; current app v5
PPETConDryMth,Consecutive months P:PET < 1,terrestrial,WSL/CHELSA-CMIP6 derived,~1 km,monthly climatology,APP_REFERENCED,Yes,Existing raster/config expected,scoring,high,fixed_relative,B,water_stress,Very High,precipitation + PET,Core proxy for seasonal water-stress duration.,Uploaded layer inventory; current app v5
CDD,Consecutive dry days,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily climatology,APP_REFERENCED,Yes,Existing raster/config expected,scoring/supporting,high,fixed_relative,B,dry_spell,High,daily precipitation,Current app ID; consider migration to CDD_PR1MM from newer daily workflow.,Uploaded layer inventory; current app v5
FIRE_PROB,Fire probability,terrestrial,FIRMS + climate/environment MaxEnt,mixed,climatology,APP_REFERENCED,Yes,Existing model,scoring/supporting,high,fixed_relative,B,fire_drought,High,fire occurrences + covariates,Impact model rather than pure climate hazard; keep distinct from KBDI/fire weather.,Uploaded layer inventory; current app v5
WBGTmax,Maximum WBGT,terrestrial,derived temperature + RH,varies,monthly/daily summary,APP_REFERENCED,Yes,Existing raster/config expected,supporting,high,threshold_or_fixed,B,worker_heat,High,temperature + RH,Legacy/app WBGT layer. Prefer daily workability metrics for operational screening.,Uploaded layer inventory; current app v5
Bio12,Mean annual rainfall,terrestrial,WSL/CHELSA-CMIP6,~1 km,monthly climatology,OLDER_INVENTORY_VERIFY,No,Older workflow,diagnostic,mixed,none,C,precipitation_context,Low,precipitation monthly,Useful context but weak as standalone impact score.,Uploaded layer inventory
Bio16,Precipitation of wettest quarter,terrestrial,WSL/CHELSA-CMIP6,~1 km,monthly climatology,OLDER_INVENTORY_VERIFY,No,Older workflow,supporting,high,fixed_relative,C,wetness,Medium,precipitation monthly,Potential supporting wet-season layer.,Uploaded layer inventory
RICE_YIELD_DECLINE,Rice temperature yield decline,agriculture,WSL/CHELSA derived,~1 km,monthly climatology,OLDER_INVENTORY_VERIFY,No,Older workflow,impact,high,threshold_direct,A,rice_heat,High,mean temperature,Older workflow applied Liu et al. relationship above 25.5 C; verify implementation and applicability before app integration.,Uploaded layer inventory
RUBBER_YIELD_DECLINE,Rubber yield decline from minimum temperature,agriculture,WSL/CHELSA derived,~1 km,monthly climatology,OLDER_INVENTORY_VERIFY,No,Older workflow,impact,high,threshold_direct,A,rubber_heat,High,minimum temperature,Older workflow applied Ali et al. relationship above 23 C; verify source and units.,Uploaded layer inventory
WORKABILITY,Outdoor workability / labour capacity,human,derived WBGT,~1 km legacy,monthly climatology,OLDER_INVENTORY_VERIFY,No,Older workflow,impact,low,threshold_direct,A,worker_heat,Very High,WBGT,High-value reusable optional dimension; rebuild from daily WBGT if possible.,Uploaded layer inventory; He/Dunne style workability
RX1DAY,Maximum one-day precipitation,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,High,daily precipitation,"Current script creates central, severe, maximum, change, percent-change and model-agreement products.",build_precipitation_extreme_indices_from_nc.R
RX5DAY,Maximum five-day precipitation,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_rainfall,Very High,daily precipitation,"Current script creates central, severe, maximum, change, percent-change and model-agreement products.",build_precipitation_extreme_indices_from_nc.R
R20MM,Days with precipitation at least 20 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,High,daily precipitation,"Current script creates central, severe, maximum, change, percent-change and model-agreement products.",build_precipitation_extreme_indices_from_nc.R
R50MM,Days with precipitation at least 50 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_rainfall,High,daily precipitation,"Current script creates central, severe, maximum, change, percent-change and model-agreement products.",build_precipitation_extreme_indices_from_nc.R
TXX,Annual maximum daily maximum temperature,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,extreme_heat,Medium,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
TNX,Annual maximum daily minimum temperature,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,night_heat,Medium,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
HOT35_DAYS,Days with Tmax >=35 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,extreme_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
TROPICAL_NIGHTS_25,Nights with Tmin >=25 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,night_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
CDD18,Cooling degree-days above 18 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,cooling_demand,Medium,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
HI_MAX,Annual maximum NOAA Heat Index,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,threshold_or_fixed,B,human_heat,Medium,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
HI41_DAYS,Days with Heat Index >=41 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,A,human_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
HI46_DAYS,Days with Heat Index >=46 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,A,human_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
HI54_DAYS,Days with Heat Index >=54 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,A,human_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
CATTLE_THI_MAX,Annual maximum generic cattle THI,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,threshold_direct,B,livestock_heat,Medium,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
CATTLE_THI72_DAYS,Days cattle THI >=72,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,B,livestock_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
WBGT_SHADE_MAX,Annual maximum approximate shade WBGT,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_or_fixed,B,worker_heat,High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
WBGT_SHADE_28_DAYS,Days approximate shade WBGT >=28 C,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,threshold_direct,A,worker_heat,Very High,daily temperature/humidity,Daily pairing implemented in current temperature/humidity script.,Temperature_HumidHeat_Livestock_Indices_NASAdataV1.R
CDD_PR1MM,"Longest dry spell, pr <1 mm",terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,dry_spell,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CDD_PR5MM,"Longest low-rain spell, pr <5 mm",terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,dry_spell,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
DRY_DAYS_PR1MM,Days with pr <1 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,dry_spell,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
DRY_DAYS_PR5MM,Days with pr <5 mm,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,dry_spell,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
DRY_SPELLS_7D_PR1MM,Dry spells >=7 days,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,dry_spell,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
DRY_SPELLS_14D_PR1MM,Dry spells >=14 days,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,dry_spell,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
DRY_SPELLS_30D_PR1MM,Dry spells >=30 days,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,dry_spell,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
MIN_30DAY_PR,Lowest rolling 30-day rainfall,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,water_stress,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
MIN_60DAY_PR,Lowest rolling 60-day rainfall,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,water_stress,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
MIN_90DAY_PR,Lowest rolling 90-day rainfall,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,low,fixed_relative,B,water_stress,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
CWD_PR1MM,"Longest wet spell, pr >=1 mm",terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,scoring,high,fixed_relative,B,wet_spell,High,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
WET_DAYS_PR1MM,Number of wet days,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,supporting,high,fixed_relative,B,wet_spell,Medium,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
PRCPTOT,Annual precipitation on wet days,terrestrial,NASA NEX-GDDP-CMIP6 derived,~25 km,daily -> annual -> 30-year,CODE_READY_VERIFY_OUTPUT,No,Yes,diagnostic,high,fixed_relative,B,precipitation_context,Low,daily pr/tas/tasmax/hurs as applicable,Current compound workflow; confirm completed output rasters and merge catalogue into app.,Compound_Drought_Wetspell_Livestock_Indices_NASAdataV2.R
